"RiskId","FindingId","Severity","RiskScore","Domain","ObjectType","ObjectId","DisplayName","Evidence","BusinessImpact","RecommendedOwner","RecommendedAction","TargetDueDate","Status"
"RISK-0001","DEC-CA-003","High","68","Conditional Access","Group","171b0f85-04f6-4946-97f3-5a7e6bc1987f","Exclude from CA","CA policy exclusion group 'Exclude from CA' has no correlated access review definition — members excluded without review governance.","Significant impact — remediation required within 30 days","Security Engineering","Create access review definition scoped to 'Exclude from CA' group to govern CA exclusion membership.","","Open"
"RISK-0002","DEC-APP-005","High","68","Application","Application","ce472608-cabf-468c-a816-c214e17cbb17","PowerShelltoTeamsGraphAPI","Client secret 'albert demo secret' expired 1272 days ago (2022-12-07) — still attached to application","Significant impact — remediation required within 30 days","App Owner / Platform Engineering","Remove expired Client secret from 'PowerShelltoTeamsGraphAPI' and rotate if integration still active","","Open"
"RISK-0003","DEC-CA-001","High","65","Conditional Access","Policy","ba681662-e32b-4e83-95c6-03ccceb73ca8","Microsoft-managed: Block device code flow","CA policy excludes 1 user(s) and 0 group(s) from policy scope","Significant impact — remediation required within 30 days","Security Engineering","Review and reduce exclusions in 'Microsoft-managed: Block device code flow'; initiate access review for excluded identities","","Open"
"RISK-0004","DEC-CA-001","High","65","Conditional Access","Policy","fdde5940-f993-4118-b169-da9d3c7d50b2","CA005: Require multifactor authentication for guest access","CA policy excludes 1 user(s) and 0 group(s) from policy scope","Significant impact — remediation required within 30 days","Security Engineering","Review and reduce exclusions in 'CA005: Require multifactor authentication for guest access'; initiate access review for excluded identities","","Open"
"RISK-0005","DEC-CA-001","High","65","Conditional Access","Policy","37e7dd4e-144a-4491-9211-2fd40705372d","CA902 Session Admin Persistence","CA policy excludes 0 user(s) and 1 group(s) from policy scope","Significant impact — remediation required within 30 days","Security Engineering","Review and reduce exclusions in 'CA902 Session Admin Persistence'; initiate access review for excluded identities","","Open"
"RISK-0006","DEC-CA-001","High","65","Conditional Access","Policy","c94c8fde-dc65-448e-bb2a-b29bd94c10d4","CA901 Block usagr from outside USA","CA policy excludes 2 user(s) and 0 group(s) from policy scope","Significant impact — remediation required within 30 days","Security Engineering","Review and reduce exclusions in 'CA901 Block usagr from outside USA'; initiate access review for excluded identities","","Open"
"RISK-0007","DEC-CA-001","High","65","Conditional Access","Policy","bedd5488-9202-46af-8cc7-690019cd0d57","CA001: Require multifactor authentication for admins","CA policy excludes 2 user(s) and 1 group(s) from policy scope","Significant impact — remediation required within 30 days","Security Engineering","Review and reduce exclusions in 'CA001: Require multifactor authentication for admins'; initiate access review for excluded identities","","Open"
"RISK-0008","DEC-CA-001","High","65","Conditional Access","Policy","bcc81919-6f02-4593-9aa6-49e2885af912","CA006: Require multifactor authentication for Azure management","CA policy excludes 1 user(s) and 1 group(s) from policy scope","Significant impact — remediation required within 30 days","Security Engineering","Review and reduce exclusions in 'CA006: Require multifactor authentication for Azure management'; initiate access review for excluded identities","","Open"
"RISK-0009","DEC-CA-001","High","65","Conditional Access","Policy","00ae77ad-3852-41f3-919f-fcd66f73c8d7","CA003: Block legacy authentication","CA policy excludes 2 user(s) and 0 group(s) from policy scope","Significant impact — remediation required within 30 days","Security Engineering","Review and reduce exclusions in 'CA003: Block legacy authentication'; initiate access review for excluded identities","","Open"
"RISK-0010","DEC-CA-002","High","62","Conditional Access","Group","171b0f85-04f6-4946-97f3-5a7e6bc1987f","Exclude from CA","CA exclusion group 'Exclude from CA' has 3 members in policy 'CA902 Session Admin Persistence' — access review status unknown","Significant impact — remediation required within 30 days","Security Engineering","Create access review for 'Exclude from CA'; validate all 3 members still require CA exclusion","","Open"
